Sample ID#,SiO2,TiO2,Al2O3,FeO*,FeO,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Ga,Cu,Zn,Pb,La,Ce,Th,U,Formation (Given),FormationID (Given),Highest Prob Formation,Probability ,2nd Highest Prob Formation,Probability,Member (Given),Highest Prob Member ,Probability,2nd Highest Prob Member,Probability,Source,Reference
40,53.43,1.53,14.94,10.68,nan,nan,0.205,5.8,9.64,2.57,0.97,0.241,39,150,35,294,531,25,319,128,32,11,20,90,104,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.80311659,SaddleMountains,0.18365856,Undifferentiated,MeyerRidge,0.99958483,Ortley,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
41,53.57,1.508,14.96,10.41,nan,nan,0.179,5.89,9.51,2.8,0.94,0.241,40,141,39,292,379,24,305,126,28,11,20,68,99,nan,nan,nan,nan,nan,GrandeRonde,3,SaddleMountains,0.62766777,GrandeRonde,0.36232033,Undifferentiated,MeyerRidge,0.99546877,Ortley,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
42,53.59,1.547,14.74,10.63,nan,nan,0.169,5.68,9.7,2.88,0.83,0.244,45,144,37,307,373,18,318,129,29,11,16,76,97,nan,nan,nan,nan,nan,GrandeRonde,3,SaddleMountains,0.53030835,GrandeRonde,0.44398595,Undifferentiated,MeyerRidge,0.9956926,Ortley,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
43,53.54,1.538,14.81,10.71,nan,nan,0.196,5.59,9.7,2.83,0.85,0.244,35,134,38,315,468,16,313,131,30,11,24,77,104,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.74389208,SaddleMountains,0.22981163,Undifferentiated,MeyerRidge,0.99897462,Ortley,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
44,53.56,1.546,14.79,10.87,nan,nan,0.18,5.61,9.58,2.7,0.92,0.245,46,141,41,290,434,24,316,130,29,13,18,90,111,nan,nan,nan,nan,nan,GrandeRonde,3,SaddleMountains,0.87074097,GrandeRonde,0.12640433,Undifferentiated,MeyerRidge,0.99868785,Ortley,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
45,53.63,1.597,14.89,11.06,nan,nan,0.182,5.4,9.49,2.59,0.9,0.245,30,124,542,319,460,26,318,130,31,11.4,18,62,96,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.99999725,Steens,0,Undifferentiated,MeyerRidge,0.93160977,FieldSprings,0.06839023,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
46,53.91,1.553,14.58,10.26,nan,nan,0.189,5.75,9.7,2.87,0.94,0.246,38,131,39,307,344,22,308,124,29,8.5,22,67,97,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.9027805,Wanapum,0.07898582,Undifferentiated,MeyerRidge,0.99346418,Ortley,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
47,53.79,1.528,14.73,10.74,nan,nan,0.178,5.39,9.86,2.7,0.83,0.246,36,150,39,291,432,27,310,124,30,9.1,19,54,92,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.82938583,SaddleMountains,0.12260747,Undifferentiated,MeyerRidge,0.99921848,Ortley,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
48,55.34,1.693,14.43,11.04,nan,nan,0.143,4.75,7.97,3.16,1.23,0.247,8,28,39,311,440,37,318,142,31,10,19,36,103,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.99877433,Steens,0,Undifferentiated,ColdSpringsRidge,0.50452749,SentinelBluffs,0.28063671,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
49,53.05,1.571,14.58,10.78,nan,nan,0.163,6.03,9.71,3.06,0.82,0.247,35,143,44,293,368,12,313,129,30,10.2,21,68,100,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.53375552,SaddleMountains,0.39064823,Undifferentiated,MeyerRidge,0.98553813,Ortley,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
50,53.36,1.591,14.56,10.86,nan,nan,0.193,5.6,9.6,3.04,0.95,0.248,23,114,42,319,404,23,313,132,29,11.3,20,59,99,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.71121024,SaddleMountains,0.23417259,Undifferentiated,MeyerRidge,0.99490354,Ortley,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
51,53.69,1.622,14.98,10.06,nan,nan,0.157,5.42,10.1,2.84,0.88,0.248,32,135,47,313,346,25,325,132,31,11.1,22,47,101,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.48908025,SaddleMountains,0.47303695,Undifferentiated,MeyerRidge,0.99124342,Ortley,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
52,53.44,1.596,14.45,10.88,nan,nan,0.172,5.66,9.68,3.03,0.83,0.249,30,125,39,309,369,13,309,131,29,11,21,56,101,nan,nan,nan,nan,nan,GrandeRonde,3,SaddleMountains,0.64528589,GrandeRonde,0.31622383,Undifferentiated,MeyerRidge,0.94719055,SentinelBluffs,0.0249623,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
53,54.07,1.585,15.01,10.35,nan,nan,0.155,5.3,9.56,2.81,0.91,0.249,38,142,41,326,350,18,311,128,31,10.5,17,79,97,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.91717776,SaddleMountains,0.05309576,Undifferentiated,MeyerRidge,0.9982599,Ortley,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
54,53.52,1.577,14.68,11.12,nan,nan,0.238,5.46,9.5,2.75,0.89,0.25,32,123,36,298,508,24,311,131,29,11,16,80,105,nan,nan,nan,nan,nan,GrandeRonde,3,GrandeRonde,0.83053286,SaddleMountains,0.14406719,Undifferentiated,MeyerRidge,0.99921883,Ortley,0,"Reidel et al, 2002","Reidel, S. P., Johnson, V. G., & Spane, F. A. (2002). Natural Gas Storage in Basalt Aquifers of the Columbia Basin , Pacific Northwest USA: A Guide to Site Characterization. Pacific Northwest National Laboratory, August, 277."
